sample_id,treatment,replicate,absorbance,ph,date
S05001,Control,2.0,0.767,6.92,2025-05-08
S05002,control,1.0,0.89,7.77,2025-05-20
S05003,Treated,2.0,1.051,6.9,2025-05-19
S05004,Control,1.0,0.231,7.51,2025-05-23
S05005,Treated,1.0,0.87,7.02,2025-05-08
S05006,Treated,2.0,0.519,7.35,2025-05-07
S05007,Treated,3.0,0.452,7.4,2025-05-15
S05008,Control,3.0,0.121,6.62,2025-05-21
S05009,Control,3.0,0.815,6.67,2025-05-14
S05010,control,2.0,0.149,7.17,2025-05-26
S05011,Treated,1.0,0.212,6.64,2025-05-06
S05012,control,1.0,0.987,7.64,2025-05-10
S05013,Control,1.0,1.035,7.37,2025-05-06
S05014,Control,1.0,n.d.,6.52,2025-05-08
S05015,Treated,2.0,1.473,7.7,2025-05-07
S05016,Control,2.0,0.83,7.6,2025-05-09
S05017,Control,3.0,1.331,7.69,2025-05-20
S05018,Control,3.0,0.352,6.41,2025-05-15
S05019,Control ,1.0,0.901,6.54,2025-05-13
S05020,Treated,3.0,n.d.,6.63,2025-05-25
S05021,Treated,3.0,0.178,6.53,2025-05-05
S05022,Treated,1.0,1.28,7.37,2025-05-10
S05023,Control,1.0,0.324,7.84,2025-05-18
S05024,Treated,1.0,0.145,7.49,2025-05-27
S05025,Control,3.0,0.895,6.49,2025-05-13
S05026,Treated,1.0,1.407,7.75,2025-05-22
S05027,Control,1.0,n.d.,6.91,2025-05-02
S05028,Control,1.0,0.427,7.1,2025-05-16
S05029,Treated,2.0,n.d.,7.48,2025-05-28
S05030,Control,2.0,0.425,7.28,2025-05-20
S05031,Treated,1.0,0.868,7.71,2025-05-22
S05032,Treated,3.0,0.241,6.69,2025-05-28
S05033,Treated,1.0,0.351,6.74,2025-05-11
S05034,treated,3.0,1.263,6.6,2025-05-04
S05035,Control,1.0,0.416,6.78,2025-05-20
S05036,treated ,1.0,1.102,7.18,2025-05-14
S05037,Treated,1.0,0.761,6.57,2025-05-04
S05038,Control,1.0,0.248,7.72,2025-05-10
S05039,TREATED,2.0,0.632,7.62,2025-05-28
S05040,control,2.0,0.411,7.55,2025-05-27
S05041,treated ,3.0,1.252,7.84,2025-05-04
S05042,Control,3.0,1.444,7.24,2025-05-15
S05043,Control,3.0,1.126,7.44,2025-05-12
S05044,Control,3.0,0.835,6.82,2025-05-10
S05045,Treated,3.0,1.559,7.78,2025-05-27
S05046,Treated,3.0,0.374,7.67,2025-05-03
S05047,Control,2.0,,7.36,2025-05-28
S05048,treated,3.0,0.404,6.69,2025-05-25
S05049,Control,3.0,0.82,7.27,2025-05-23
S05050,TREATED,2.0,1.211,6.94,2025-05-04
S05051,Control,1.0,0.226,6.7,2025-05-17
S05052,Control,2.0,1.512,7.12,2025-05-15
S05053,Control,3.0,0.838,7.34,2025-05-17
S05054,treated,1.0,1.306,7.71,2025-05-24
S05055,control,1.0,1.142,6.98,2025-05-01
S05056,Control,3.0,0.217,6.7,2025-05-19
,,,,,
S05057,treated ,3.0,1.336,6.86,2025-05-14
S05058,Control,2.0,0.594,7.26,2025-05-24
S05059,Control,1.0,0.911,7.34,2025-05-18
S05060,Control,3.0,,6.9,2025-05-17
S05061,Treated,3.0,0.606,7.66,2025-05-04
S05062,Control,3.0,0.466,7.03,2025-05-21
S05063,Control,2.0,0.703,7.24,2025-05-01
S05064,Treated,1.0,1.192,7.6,2025-05-17
S05065,Treated,3.0,1.072,7.73,2025-05-09
S05066,Control,1.0,0.824,7.11,2025-05-14
S05067,treated ,3.0,1.319,6.45,2025-05-28
S05068,treated,1.0,0.373,7.53,2025-05-23
S05069,Control,3.0,1.432,6.64,2025-05-22
S05070,Control,1.0,0.682,7.27,2025-05-10
S05071,Control,2.0,0.113,7.74,2025-05-24
S05072,Control,2.0,0.893,7.31,2025-05-05
S05073,treated ,1.0,0.799,7.7,2025-05-24
S05074,control,3.0,0.494,7.04,2025-05-04
S05075,CONTROL,1.0,0.893,6.57,2025-05-05
S05076,Control,1.0,1.144,7.04,2025-05-03
S05077,Control,3.0,,7.65,2025-05-09
S05078,Treated,1.0,0.134,6.78,2025-05-20
S05079,Treated,2.0,0.963,7.84,2025-05-06
S05080,TREATED,3.0,,6.62,2025-05-08
