sample_id,treatment,replicate,absorbance,ph,date
S09001,Treated,2.0,n.d.,6.49,2025-09-15
S09002,CONTROL,3.0,1.02,6.88,2025-09-02
S09003,Treated,1.0,1.062,7.66,2025-09-16
S09004,Control,3.0,1.132,7.62,2025-09-18
S09005,Treated,3.0,0.752,6.72,2025-09-17
S09006,Control,2.0,0.579,6.8,2025-09-28
S09007,treated,1.0,0.665,6.81,2025-09-13
S09008,control,1.0,0.506,7.01,2025-09-26
S09009,Treated,1.0,0.958,6.71,2025-09-12
S09010,Treated,2.0,0.275,6.97,2025-09-22
S09011,Treated,1.0,0.815,6.72,2025-09-03
S09012,Treated,2.0,0.93,7.26,2025-09-01
S09013,Treated,1.0,1.425,7.0,2025-09-01
S09014,Control,1.0,0.894,6.87,2025-09-21
S09015,Control,3.0,,6.55,2025-09-12
S09016,Treated,2.0,n.d.,6.51,2025-09-08
S09017,Treated,3.0,0.164,7.53,2025-09-06
S09018,Treated,2.0,0.546,6.78,2025-09-26
S09019,Treated,2.0,,6.59,2025-09-20
S09020,Treated,2.0,1.02,6.93,2025-09-10
S09021,Treated,1.0,0.398,7.26,2025-09-23
S09022,TREATED,1.0,1.294,7.86,2025-09-11
S09023,Treated,1.0,0.529,6.76,2025-09-18
S09024,CONTROL,2.0,1.578,7.87,2025-09-20
S09025,Control,3.0,1.525,7.0,2025-09-12
S09026,Treated,1.0,0.638,6.55,2025-09-02
S09027,Control,1.0,0.127,7.81,2025-09-28
S09028,Treated,3.0,0.998,6.52,2025-09-12
S09029,Treated,2.0,1.396,6.51,2025-09-04
S09030,control,2.0,0.869,6.64,2025-09-05
S09031,Treated,3.0,1.415,7.84,2025-09-02
S09032,CONTROL,3.0,0.748,6.52,2025-09-18
S09033,treated ,3.0,0.898,6.68,2025-09-20
S09034,Control,3.0,0.692,6.96,2025-09-08
S09035,treated ,3.0,0.205,7.77,2025-09-12
,,,,,
S09036,treated,1.0,0.393,7.8,2025-09-11
S09037,Treated,2.0,1.402,7.55,2025-09-02
S09038,Control,3.0,0.827,6.99,2025-09-25
S09039,treated ,2.0,1.153,7.52,2025-09-01
S09040,Control,3.0,1.117,7.77,2025-09-15
S09041,Treated,3.0,0.348,7.39,2025-09-07
S09042,Treated,2.0,0.142,7.62,2025-09-23
S09043,control,1.0,0.307,6.9,2025-09-12
S09044,Treated,3.0,0.116,6.47,2025-09-22
S09045,Control ,1.0,0.432,7.07,2025-09-09
S09046,Treated,2.0,0.937,7.69,2025-09-07
S09047,treated ,2.0,0.669,6.67,2025-09-21
S09048,Treated,1.0,0.412,6.59,2025-09-21
S09049,Treated,2.0,,7.07,2025-09-03
S09050,Treated,1.0,,6.85,2025-09-27
S09051,Treated,2.0,1.458,6.41,2025-09-28
S09052,TREATED,3.0,0.309,7.6,2025-09-22
S09053,TREATED,2.0,0.397,7.48,2025-09-15
S09054,Control ,2.0,n.d.,7.85,2025-09-21
S09055,Treated,1.0,0.362,6.43,2025-09-20
S09056,Treated,2.0,0.288,6.58,2025-09-05
S09057,Control,1.0,1.567,7.04,2025-09-13
S09058,Control,3.0,0.269,7.5,2025-09-15
S09059,Control,2.0,1.487,6.8,2025-09-18
S09060,Control,1.0,0.542,6.57,2025-09-03
S09061,Control,1.0,0.246,6.58,2025-09-04
S09062,Treated,1.0,0.624,6.97,2025-09-15
S09063,Control,3.0,0.818,6.93,2025-09-10
S09064,Treated,2.0,1.07,7.77,2025-09-03
S09065,Control,1.0,1.562,7.08,2025-09-06
S09066,Treated,3.0,0.889,7.09,2025-09-24
S09067,Control,1.0,1.005,7.82,2025-09-24
S09068,Control,3.0,1.124,7.21,2025-09-14
S09069,Treated,3.0,0.366,6.49,2025-09-18
S09070,treated ,2.0,0.742,6.45,2025-09-12
S09071,Control,1.0,1.244,7.05,2025-09-05
S09072,Control,2.0,0.357,6.75,2025-09-21
S09073,Control,2.0,n.d.,7.37,2025-09-11
S09074,Treated,2.0,1.09,7.22,2025-09-16
S09075,Control,1.0,0.933,6.82,2025-09-14
S09076,Treated,1.0,0.413,6.45,2025-09-08
S09077,Treated,3.0,0.592,6.85,2025-09-24
S09078,Control,3.0,0.369,7.45,2025-09-19
S09079,TREATED,1.0,0.338,7.24,2025-09-06
S09080,CONTROL,3.0,1.013,6.59,2025-09-15
