sample_id,treatment,replicate,absorbance,ph,date
S12001,Control,3.0,n.d.,7.2,2025-12-22
,,,,,
S12002,treated ,2.0,0.88,7.48,2025-12-14
S12003,Control,3.0,0.338,7.7,2025-12-20
S12004,Control,3.0,1.211,6.59,2025-12-20
S12005,Treated,1.0,0.813,6.87,2025-12-19
S12006,Control,1.0,0.329,6.65,2025-12-18
S12007,Control,1.0,0.207,7.66,2025-12-24
S12008,Treated,2.0,1.171,7.26,2025-12-13
S12009,Treated,2.0,,6.77,2025-12-02
S12010,Control ,3.0,0.286,7.08,2025-12-24
S12011,Control,2.0,1.052,7.46,2025-12-05
S12012,Control,3.0,1.502,6.49,2025-12-04
S12013,Control,1.0,1.163,7.16,2025-12-16
S12014,TREATED,3.0,0.334,7.61,2025-12-20
S12015,Control,1.0,1.348,7.73,2025-12-02
S12016,Treated,3.0,0.988,7.29,2025-12-19
S12017,Treated,2.0,0.744,7.19,2025-12-01
S12018,Treated,2.0,1.458,6.74,2025-12-04
S12019,treated,1.0,0.497,6.43,2025-12-05
S12020,Control,3.0,n.d.,6.84,2025-12-04
S12021,treated ,3.0,0.911,6.55,2025-12-05
S12022,Treated,3.0,,7.69,2025-12-02
S12023,Treated,3.0,n.d.,6.44,2025-12-28
S12024,Control,1.0,1.135,7.64,2025-12-03
S12025,Control,1.0,0.251,6.96,2025-12-09
S12026,Treated,2.0,0.901,7.09,2025-12-27
S12027,Control,1.0,0.769,6.68,2025-12-24
S12028,Treated,2.0,1.033,7.3,2025-12-13
S12029,CONTROL,2.0,0.373,6.59,2025-12-24
S12030,Treated,1.0,1.45,7.03,2025-12-07
S12031,TREATED,3.0,1.028,7.49,2025-12-16
S12032,Control ,2.0,0.71,6.46,2025-12-03
S12033,Treated,2.0,0.571,7.15,2025-12-28
S12034,Treated,2.0,0.463,6.41,2025-12-09
S12035,Control,3.0,,6.76,2025-12-17
S12036,Control,3.0,1.456,7.07,2025-12-07
S12037,control,3.0,1.391,6.52,2025-12-07
S12038,Treated,1.0,0.686,7.61,2025-12-11
S12039,Treated,2.0,1.381,7.33,2025-12-14
S12040,TREATED,1.0,0.796,7.67,2025-12-06
S12041,treated,2.0,1.345,7.45,2025-12-02
S12042,Control,1.0,1.369,6.82,2025-12-07
S12043,treated ,3.0,1.485,7.88,2025-12-27
S12044,Control,1.0,0.442,6.76,2025-12-02
S12045,Treated,1.0,0.205,6.63,2025-12-14
S12046,Control,3.0,1.16,6.74,2025-12-15
S12047,Treated,3.0,0.424,6.85,2025-12-24
S12048,Treated,1.0,1.479,7.69,2025-12-13
S12049,TREATED,1.0,1.192,7.57,2025-12-01
S12050,CONTROL,1.0,0.441,7.04,2025-12-15
S12051,CONTROL,2.0,1.282,7.28,2025-12-16
S12052,Control,2.0,0.837,7.07,2025-12-25
S12053,Control,3.0,0.931,7.27,2025-12-14
S12054,Treated,1.0,0.983,7.15,2025-12-20
S12055,Control,2.0,1.551,7.31,2025-12-09
S12056,Control ,3.0,,7.31,2025-12-02
S12057,Control ,3.0,1.253,6.83,2025-12-24
S12058,Control,1.0,n.d.,6.93,2025-12-01
S12059,Control,1.0,0.82,6.74,2025-12-17
S12060,Treated,3.0,0.332,6.97,2025-12-12
S12061,Control ,2.0,1.117,7.45,2025-12-20
S12062,Treated,1.0,0.914,7.61,2025-12-12
S12063,Treated,3.0,1.343,7.33,2025-12-07
S12064,Treated,1.0,1.126,6.76,2025-12-27
S12065,Treated,2.0,0.936,6.56,2025-12-09
S12066,Treated,2.0,1.513,7.65,2025-12-12
S12067,Control,1.0,1.192,7.15,2025-12-21
S12068,Control,1.0,1.459,7.52,2025-12-25
S12069,Treated,3.0,1.028,7.41,2025-12-17
S12070,Control ,3.0,0.388,6.86,2025-12-25
S12071,Treated,1.0,0.53,7.34,2025-12-23
S12072,Control,3.0,1.094,6.47,2025-12-24
S12073,Treated,2.0,1.487,6.61,2025-12-02
S12074,Treated,1.0,1.158,6.47,2025-12-15
S12075,Control,3.0,0.968,6.98,2025-12-08
S12076,Control,2.0,1.032,6.7,2025-12-15
S12077,Control,2.0,0.54,7.72,2025-12-08
S12078,Treated,2.0,0.28,6.63,2025-12-23
S12079,Treated,3.0,0.178,6.71,2025-12-16
S12080,CONTROL,2.0,1.196,6.64,2025-12-28
