sample_id,treatment,replicate,absorbance,ph,date
S01001,Treated,2.0,1.044,7.88,2025-01-01
S01002,Control,2.0,0.345,7.46,2025-01-28
S01003,TREATED,2.0,0.457,7.48,2025-01-18
S01004,"Control ",2.0,1.121,7.5,2025-01-18
S01005,control,3.0,0.203,7.18,2025-01-16
S01006,TREATED,1.0,1.41,6.67,2025-01-27
S01007,Treated,3.0,0.732,7.72,2025-01-10
S01008,Treated,3.0,1.02,7.72,2025-01-24
S01009,Treated,2.0,,7.46,2025-01-27
S01010,Control,1.0,0.352,7.8,2025-01-19
S01011,Treated,1.0,0.095,7.87,2025-01-25
S01012,Control,2.0,0.399,7.16,2025-01-06
S01013,Treated,2.0,1.402,7.54,2025-01-03
S01014,"treated ",1.0,1.559,7.32,2025-01-06
S01015,Control,3.0,0.752,6.57,2025-01-05
S01016,Control,2.0,0.656,6.87,2025-01-25
S01017,control,1.0,0.499,6.5,2025-01-11
S01018,TREATED,1.0,1.548,7.73,2025-01-10
S01019,Treated,1.0,0.168,6.43,2025-01-22
S01020,Treated,2.0,0.701,7.21,2025-01-20
S01021,Treated,2.0,0.336,6.67,2025-01-28
S01022,Control,1.0,0.445,6.62,2025-01-13
S01023,Treated,2.0,1.266,6.65,2025-01-02
S01024,Treated,1.0,0.39,7.72,2025-01-13
S01025,Treated,2.0,0.919,7.14,2025-01-03
S01026,Treated,2.0,0.638,6.91,2025-01-01
S01027,Control,1.0,0.851,7.9,2025-01-11
S01028,Control,1.0,0.587,7.22,2025-01-24
S01029,Control,2.0,0.51,6.85,2025-01-05
S01030,CONTROL,1.0,,6.96,2025-01-09
S01031,Control,3.0,0.21,7.44,2025-01-17
S01032,Treated,2.0,0.812,6.58,2025-01-10
S01033,Control,2.0,1.423,7.54,2025-01-05
S01034,Treated,1.0,,7.73,2025-01-03
S01035,Control,3.0,0.122,7.11,2025-01-22
S01036,"Control ",1.0,1.475,7.06,2025-01-18
S01037,Control,3.0,0.265,6.61,2025-01-12
S01038,Treated,2.0,1.217,7.03,2025-01-22
S01039,"treated ",2.0,1.443,7.55,2025-01-12
S01040,Control,2.0,0.335,7.02,2025-01-15
S01041,Treated,2.0,0.584,7.33,2025-01-23
S01042,Control,1.0,0.655,6.47,2025-01-14
S01043,Control,1.0,0.607,6.73,2025-01-17
S01044,Control,1.0,0.865,6.71,2025-01-22
S01045,Treated,3.0,0.094,7.87,2025-01-15
S01046,Control,1.0,n.d.,6.47,2025-01-03
S01047,Control,3.0,1.414,6.72,2025-01-02
S01048,Control,1.0,0.213,6.45,2025-01-16
S01049,control,3.0,0.816,7.36,2025-01-07
S01050,Control,2.0,0.811,7.38,2025-01-21
S01051,Treated,2.0,1.27,6.92,2025-01-13
S01052,Treated,1.0,,6.45,2025-01-11
S01053,Control,2.0,1.155,7.05,2025-01-24
S01054,Control,2.0,0.496,6.66,2025-01-25
S01055,control,3.0,1.099,7.04,2025-01-02
S01056,Control,1.0,0.608,6.96,2025-01-13
S01057,"Control ",2.0,n.d.,6.73,2025-01-15
S01058,Control,3.0,1.107,7.66,2025-01-04
S01059,Control,2.0,1.566,7.44,2025-01-27
S01060,Treated,1.0,1.397,7.11,2025-01-28
S01061,Treated,1.0,0.15,7.0,2025-01-28
S01062,Treated,3.0,0.521,6.56,2025-01-13
S01063,Treated,2.0,1.391,7.3,2025-01-03
S01064,Treated,1.0,0.993,7.16,2025-01-22
S01065,Control,1.0,0.603,7.76,2025-01-21
S01066,"treated ",3.0,0.165,7.85,2025-01-03
S01067,treated,2.0,1.24,7.61,2025-01-18
S01068,treated,2.0,n.d.,7.7,2025-01-23
S01069,Treated,3.0,0.221,7.14,2025-01-02
S01070,"treated ",1.0,1.59,6.96,2025-01-05
S01071,"treated ",3.0,n.d.,7.12,2025-01-20
S01072,Treated,3.0,1.4,7.2,2025-01-04
,,,,,
S01073,Treated,2.0,0.805,7.63,2025-01-15
S01074,TREATED,1.0,0.337,6.63,2025-01-08
S01075,Control,2.0,0.892,7.3,2025-01-01
S01076,Treated,1.0,0.727,7.76,2025-01-12
S01077,"treated ",2.0,0.328,6.73,2025-01-13
S01078,Control,2.0,0.332,6.83,2025-01-14
S01079,Control,3.0,0.472,7.66,2025-01-01
S01080,Control,2.0,1.513,7.38,2025-01-12
,,,,,
