sample_id,treatment,replicate,absorbance,ph,date
S10001,Treated,1.0,n.d.,7.5,2025-10-01
S10002,CONTROL,1.0,0.842,7.34,2025-10-15
S10003,Treated,2.0,1.303,6.9,2025-10-21
S10004,Treated,1.0,0.454,6.91,2025-10-27
S10005,Treated,1.0,0.903,6.94,2025-10-05
S10006,Treated,1.0,1.486,6.43,2025-10-03
S10007,Control,3.0,0.492,7.42,2025-10-22
S10008,Treated,2.0,0.236,6.77,2025-10-17
S10009,Treated,3.0,0.533,7.7,2025-10-27
S10010,Control,2.0,0.595,7.85,2025-10-28
S10011,Control,2.0,1.246,7.24,2025-10-06
S10012,Treated,2.0,0.361,6.84,2025-10-10
S10013,Treated,2.0,0.486,7.43,2025-10-02
S10014,control,3.0,1.271,6.65,2025-10-20
S10015,Control,1.0,0.692,7.56,2025-10-16
S10016,TREATED,2.0,1.595,7.53,2025-10-28
S10017,Treated,1.0,0.127,7.69,2025-10-14
S10018,Control,2.0,0.28,6.49,2025-10-21
S10019,Control,2.0,0.404,7.13,2025-10-20
S10020,CONTROL,2.0,1.324,7.72,2025-10-06
S10021,Control,1.0,0.922,7.11,2025-10-12
S10022,Treated,3.0,1.388,7.13,2025-10-07
S10023,Control,2.0,0.582,6.96,2025-10-10
S10024,Treated,2.0,1.334,7.72,2025-10-17
S10025,Control,3.0,n.d.,7.52,2025-10-10
S10026,control,2.0,0.876,7.21,2025-10-01
S10027,Treated,3.0,,6.75,2025-10-03
S10028,Treated,2.0,0.486,7.3,2025-10-25
S10029,Treated,3.0,0.297,6.85,2025-10-11
S10030,Control,3.0,0.564,6.63,2025-10-12
S10031,treated ,3.0,1.56,6.56,2025-10-04
S10032,treated ,3.0,,7.73,2025-10-24
S10033,Control,2.0,1.091,7.2,2025-10-19
S10034,CONTROL,2.0,1.563,7.08,2025-10-03
S10035,Control,2.0,0.513,7.7,2025-10-15
S10036,Control ,2.0,1.152,7.71,2025-10-23
S10037,Treated,1.0,0.915,7.43,2025-10-03
S10038,Treated,2.0,0.419,6.46,2025-10-14
S10039,CONTROL,3.0,,7.47,2025-10-24
S10040,Treated,1.0,1.051,7.87,2025-10-06
S10041,Control,2.0,0.781,6.91,2025-10-23
S10042,Control,1.0,0.745,6.59,2025-10-20
S10043,Treated,1.0,0.623,7.76,2025-10-16
S10044,Control,2.0,0.4,6.92,2025-10-15
S10045,Control,1.0,1.509,7.18,2025-10-28
S10046,Control,3.0,0.987,6.53,2025-10-19
S10047,treated,2.0,0.272,7.57,2025-10-14
S10048,treated ,1.0,0.816,6.99,2025-10-11
S10049,Control,1.0,0.547,7.02,2025-10-01
S10050,Treated,1.0,0.671,6.87,2025-10-12
S10051,Control,1.0,1.301,7.77,2025-10-25
S10052,control,3.0,1.558,7.64,2025-10-21
,,,,,
S10053,Treated,1.0,n.d.,6.87,2025-10-03
S10054,Treated,2.0,0.342,6.92,2025-10-17
S10055,Control,1.0,1.231,7.49,2025-10-10
S10056,Treated,3.0,0.114,7.66,2025-10-09
S10057,Treated,2.0,n.d.,6.61,2025-10-15
S10058,control,3.0,0.753,6.4,2025-10-19
S10059,Control,1.0,0.586,7.26,2025-10-03
S10060,Control,2.0,0.154,7.67,2025-10-18
S10061,treated ,2.0,,7.89,2025-10-01
S10062,Treated,1.0,0.199,6.89,2025-10-05
S10063,Treated,1.0,1.266,7.02,2025-10-19
S10064,Control,1.0,0.562,7.16,2025-10-17
S10065,Treated,1.0,1.437,7.76,2025-10-13
S10066,Control,3.0,1.212,7.27,2025-10-01
S10067,Treated,2.0,1.258,6.76,2025-10-14
S10068,Control,3.0,1.59,6.72,2025-10-27
S10069,Control,3.0,1.579,6.74,2025-10-24
S10070,Control,1.0,1.056,7.34,2025-10-22
S10071,CONTROL,1.0,0.845,7.46,2025-10-12
S10072,Control ,3.0,0.804,7.5,2025-10-17
S10073,Treated,2.0,1.003,7.25,2025-10-28
S10074,CONTROL,2.0,0.764,6.77,2025-10-27
S10075,Control,3.0,0.465,7.84,2025-10-27
S10076,Control,3.0,0.728,6.8,2025-10-05
S10077,Treated,3.0,1.387,6.86,2025-10-26
S10078,Treated,2.0,0.343,7.55,2025-10-22
S10079,Control ,1.0,0.158,6.52,2025-10-18
S10080,TREATED,3.0,1.576,7.14,2025-10-10
