sample_id,treatment,replicate,absorbance,ph,date
S04001,Treated,3.0,n.d.,6.85,2025-04-08
S04002,Treated,1.0,0.367,7.36,2025-04-26
S04003,CONTROL,2.0,0.538,7.69,2025-04-27
S04004,TREATED,3.0,0.407,7.51,2025-04-13
S04005,treated,2.0,0.251,7.73,2025-04-04
S04006,Treated,3.0,0.512,7.72,2025-04-02
S04007,Control,1.0,1.242,7.53,2025-04-25
S04008,Control,1.0,0.967,7.13,2025-04-27
S04009,Control,1.0,1.255,6.73,2025-04-17
S04010,Control,2.0,,6.48,2025-04-22
S04011,Treated,3.0,1.168,6.98,2025-04-03
S04012,CONTROL,1.0,0.391,6.58,2025-04-03
S04013,Control,3.0,0.661,6.58,2025-04-10
S04014,Treated,2.0,0.533,6.85,2025-04-12
S04015,Treated,1.0,1.221,6.91,2025-04-11
S04016,Treated,2.0,1.018,7.86,2025-04-05
S04017,Control,3.0,1.038,6.61,2025-04-02
S04018,Treated,2.0,1.401,7.33,2025-04-25
S04019,Control,3.0,0.441,6.45,2025-04-16
S04020,treated ,1.0,n.d.,7.67,2025-04-19
S04021,Control,2.0,1.077,6.56,2025-04-16
S04022,Treated,3.0,1.371,6.98,2025-04-27
S04023,Treated,3.0,0.097,7.14,2025-04-06
S04024,Control,1.0,1.466,7.59,2025-04-14
S04025,TREATED,1.0,0.487,7.12,2025-04-08
S04026,CONTROL,1.0,0.573,6.81,2025-04-28
S04027,Treated,1.0,,7.6,2025-04-20
S04028,Control,1.0,1.472,6.7,2025-04-03
S04029,Treated,2.0,0.18,7.85,2025-04-02
S04030,Treated,1.0,0.792,7.37,2025-04-07
S04031,Treated,2.0,1.313,6.44,2025-04-08
S04032,Treated,1.0,0.834,7.84,2025-04-23
S04033,Treated,2.0,0.994,7.69,2025-04-28
S04034,TREATED,2.0,,6.7,2025-04-17
S04035,Control,2.0,1.035,7.87,2025-04-24
S04036,Treated,1.0,0.102,7.03,2025-04-26
S04037,Control,1.0,1.432,7.87,2025-04-06
S04038,Treated,1.0,0.452,7.17,2025-04-11
S04039,Treated,2.0,0.731,7.01,2025-04-06
S04040,Control,1.0,,6.96,2025-04-01
S04041,Treated,3.0,n.d.,7.51,2025-04-03
S04042,Treated,3.0,0.744,7.55,2025-04-14
S04043,Treated,3.0,1.002,7.63,2025-04-08
S04044,Treated,3.0,0.613,7.56,2025-04-04
S04045,Control,1.0,0.503,6.62,2025-04-17
S04046,TREATED,1.0,0.872,6.48,2025-04-05
S04047,treated ,3.0,0.352,6.85,2025-04-06
S04048,Control,1.0,0.681,6.9,2025-04-07
S04049,Treated,3.0,0.404,6.98,2025-04-13
S04050,TREATED,2.0,0.268,7.25,2025-04-06
S04051,Treated,3.0,1.555,6.81,2025-04-06
S04052,Treated,1.0,1.332,7.86,2025-04-12
S04053,Control,3.0,1.537,6.97,2025-04-15
S04054,Control,2.0,0.714,6.72,2025-04-16
S04055,Treated,2.0,0.476,7.0,2025-04-14
S04056,Treated,2.0,1.448,7.07,2025-04-24
S04057,Treated,1.0,0.468,7.22,2025-04-22
S04058,control,3.0,0.732,6.68,2025-04-01
S04059,Treated,1.0,1.024,7.07,2025-04-16
S04060,treated ,1.0,0.402,7.81,2025-04-02
S04061,Treated,1.0,0.818,6.6,2025-04-19
S04062,Control ,2.0,1.282,7.6,2025-04-10
S04063,Control,3.0,0.992,6.77,2025-04-24
S04064,Treated,3.0,0.587,6.89,2025-04-12
S04065,Treated,1.0,0.298,7.74,2025-04-27
,,,,,
S04066,control,2.0,0.76,7.09,2025-04-03
S04067,control,3.0,0.788,7.79,2025-04-09
S04068,Treated,2.0,0.502,6.42,2025-04-22
S04069,Treated,3.0,0.671,7.23,2025-04-13
S04070,control,2.0,0.657,6.51,2025-04-08
S04071,Treated,1.0,0.247,7.16,2025-04-25
S04072,treated ,1.0,1.455,7.54,2025-04-28
S04073,TREATED,2.0,1.291,6.61,2025-04-11
S04074,Treated,2.0,1.0,6.73,2025-04-19
S04075,TREATED,1.0,0.469,7.66,2025-04-16
S04076,Control,3.0,0.924,7.53,2025-04-02
S04077,Treated,3.0,0.637,7.26,2025-04-14
S04078,Treated,1.0,0.402,7.28,2025-04-26
S04079,Treated,3.0,n.d.,6.69,2025-04-12
S04080,Treated,2.0,0.958,7.17,2025-04-13
