sample_id,treatment,replicate,absorbance,ph,date
S08001,Control,3.0,1.108,7.9,2025-08-18
S08002,Control,1.0,1.461,6.76,2025-08-15
S08003,Control ,2.0,1.538,7.67,2025-08-13
S08004,Treated,3.0,1.104,6.99,2025-08-17
S08005,Treated,2.0,1.579,6.73,2025-08-06
S08006,Treated,3.0,0.846,6.91,2025-08-09
S08007,control,3.0,0.697,6.71,2025-08-01
S08008,Control,3.0,0.336,7.9,2025-08-07
S08009,Treated,2.0,0.703,6.42,2025-08-24
S08010,Treated,3.0,0.988,7.68,2025-08-25
S08011,Control,2.0,0.596,7.46,2025-08-07
S08012,Control,3.0,1.516,7.25,2025-08-18
S08013,Treated,2.0,,6.73,2025-08-22
S08014,Treated,3.0,1.474,6.88,2025-08-09
S08015,Control,1.0,0.944,7.82,2025-08-12
S08016,Treated,1.0,0.62,7.63,2025-08-22
S08017,control,3.0,0.428,6.58,2025-08-06
S08018,Control,3.0,,7.06,2025-08-12
S08019,Treated,3.0,0.251,7.82,2025-08-16
S08020,treated ,1.0,0.14,6.45,2025-08-14
S08021,Control ,1.0,0.469,7.2,2025-08-06
S08022,TREATED,2.0,1.403,7.49,2025-08-05
S08023,Treated,1.0,0.258,6.8,2025-08-12
S08024,control,3.0,0.121,7.02,2025-08-09
S08025,Control,2.0,0.841,7.8,2025-08-08
S08026,Treated,2.0,0.588,7.32,2025-08-11
S08027,CONTROL,3.0,0.637,7.68,2025-08-17
S08028,Control ,2.0,0.14,7.45,2025-08-24
S08029,Treated,3.0,0.749,6.74,2025-08-15
S08030,control,1.0,0.667,6.63,2025-08-07
S08031,Control,2.0,1.583,7.32,2025-08-05
S08032,Treated,3.0,1.539,6.88,2025-08-15
S08033,Control,2.0,0.694,6.5,2025-08-10
S08034,treated,1.0,1.484,6.49,2025-08-07
S08035,Control,1.0,0.965,7.61,2025-08-09
S08036,Treated,2.0,0.336,7.49,2025-08-21
S08037,Treated,1.0,,7.68,2025-08-23
S08038,Treated,3.0,0.681,6.42,2025-08-05
S08039,Treated,2.0,0.829,7.3,2025-08-27
S08040,control,2.0,1.151,6.62,2025-08-14
S08041,Treated,1.0,0.431,7.73,2025-08-10
,,,,,
S08042,Treated,3.0,0.814,7.33,2025-08-08
S08043,Control,2.0,0.446,6.46,2025-08-15
S08044,Treated,2.0,0.457,7.7,2025-08-20
S08045,Treated,1.0,0.617,6.77,2025-08-24
S08046,Treated,2.0,1.469,7.83,2025-08-25
S08047,Control,2.0,1.073,6.9,2025-08-13
S08048,Treated,1.0,n.d.,7.57,2025-08-28
S08049,Control,2.0,0.597,7.16,2025-08-09
S08050,Control ,1.0,0.707,7.11,2025-08-20
S08051,Treated,2.0,0.303,6.85,2025-08-03
S08052,Treated,1.0,1.414,7.89,2025-08-01
S08053,Treated,1.0,0.644,7.72,2025-08-11
S08054,Control,3.0,0.821,7.9,2025-08-21
S08055,CONTROL,2.0,0.233,6.53,2025-08-18
S08056,Control,1.0,1.461,7.31,2025-08-21
S08057,Treated,1.0,0.861,7.15,2025-08-24
S08058,Control ,1.0,1.593,6.84,2025-08-23
S08059,Control,2.0,0.246,7.33,2025-08-12
S08060,Treated,2.0,0.48,7.84,2025-08-21
S08061,Treated,2.0,1.015,7.52,2025-08-03
S08062,Treated,1.0,,7.37,2025-08-05
S08063,Control,3.0,1.302,6.94,2025-08-23
S08064,Treated,2.0,0.983,7.27,2025-08-27
S08065,Control,2.0,1.398,6.41,2025-08-13
S08066,control,1.0,1.291,6.79,2025-08-08
S08067,Control,1.0,0.116,7.36,2025-08-16
S08068,Control ,1.0,1.508,7.37,2025-08-23
S08069,Control ,3.0,0.304,6.59,2025-08-11
S08070,Control,2.0,0.608,6.92,2025-08-04
S08071,Treated,3.0,0.9,7.85,2025-08-23
S08072,Control,1.0,n.d.,6.73,2025-08-03
S08073,treated,1.0,0.538,6.64,2025-08-25
S08074,Control,1.0,0.125,7.16,2025-08-08
S08075,Control,3.0,n.d.,6.95,2025-08-22
S08076,Treated,1.0,1.29,7.18,2025-08-03
S08077,Control ,3.0,0.386,6.5,2025-08-17
S08078,Control,3.0,1.098,7.42,2025-08-09
S08079,Control,2.0,n.d.,7.01,2025-08-25
S08080,Treated,2.0,1.534,6.54,2025-08-05
