sample_id,treatment,replicate,absorbance,ph,date
S03001,Control,3.0,1.073,6.4,09/03/2025
S03002,"treated ",1.0,0.409,7.54,13/03/2025
S03003,Control,3.0,1.491,7.14,13/03/2025
S03004,"treated ",2.0,0.205,7.4,17/03/2025
S03005,Control,1.0,0.636,6.9,19/03/2025
S03006,Control,2.0,0.165,6.85,20/03/2025
S03007,Control,3.0,0.79,7.83,19/03/2025
S03008,Control,3.0,1.2,7.74,12/03/2025
S03009,Control,2.0,0.843,7.36,13/03/2025
S03010,TREATED,2.0,,6.92,24/03/2025
S03011,Control,2.0,1.039,6.55,16/03/2025
S03012,CONTROL,1.0,,6.5,14/03/2025
S03013,Control,3.0,0.466,6.81,01/03/2025
S03014,TREATED,1.0,0.579,7.5,16/03/2025
S03015,"Control ",1.0,0.394,6.79,26/03/2025
S03016,Control,2.0,0.769,6.79,23/03/2025
S03017,Treated,1.0,,7.19,17/03/2025
S03018,Treated,3.0,0.713,7.55,09/03/2025
S03019,Control,2.0,n.d.,7.87,02/03/2025
S03020,Control,2.0,n.d.,7.84,21/03/2025
S03021,treated,3.0,1.586,7.25,25/03/2025
S03022,Treated,3.0,0.185,7.37,08/03/2025
S03023,Treated,1.0,0.529,6.9,25/03/2025
S03024,Control,1.0,0.658,6.62,22/03/2025
S03025,Control,2.0,1.342,7.34,02/03/2025
S03026,Control,2.0,0.253,6.63,18/03/2025
S03027,TREATED,1.0,1.49,7.74,13/03/2025
S03028,"treated ",3.0,1.177,6.62,27/03/2025
S03029,Control,2.0,1.446,7.4,24/03/2025
S03030,Control,2.0,1.326,6.48,14/03/2025
,,,,,
S03031,CONTROL,2.0,0.973,7.43,26/03/2025
S03032,Treated,1.0,n.d.,6.7,21/03/2025
S03033,control,2.0,1.453,7.38,14/03/2025
S03034,control,1.0,0.967,7.66,02/03/2025
S03035,Control,1.0,0.338,6.44,26/03/2025
S03036,Treated,2.0,1.528,6.92,21/03/2025
S03037,Treated,1.0,0.329,6.6,06/03/2025
S03038,Treated,1.0,0.377,6.8,16/03/2025
S03039,"treated ",1.0,1.0,6.92,08/03/2025
S03040,Treated,2.0,1.201,7.86,07/03/2025
S03041,Treated,3.0,0.281,6.95,02/03/2025
S03042,Control,3.0,0.679,7.44,23/03/2025
S03043,Treated,3.0,0.762,6.81,06/03/2025
S03044,Treated,3.0,0.776,6.77,06/03/2025
S03045,Control,2.0,0.808,6.99,22/03/2025
S03046,Control,2.0,0.767,7.32,15/03/2025
S03047,Treated,2.0,0.107,7.28,04/03/2025
S03048,Control,3.0,1.501,7.0,19/03/2025
S03049,Control,2.0,0.958,6.67,15/03/2025
S03050,treated,2.0,1.153,7.65,03/03/2025
S03051,Control,3.0,1.087,7.24,23/03/2025
S03052,Treated,1.0,1.534,7.29,16/03/2025
S03053,treated,3.0,0.922,7.49,24/03/2025
S03054,Treated,2.0,0.616,6.72,04/03/2025
S03055,"treated ",3.0,1.224,7.83,08/03/2025
S03056,Control,2.0,0.357,7.59,26/03/2025
S03057,Control,2.0,0.983,7.59,28/03/2025
S03058,Control,2.0,1.203,7.52,07/03/2025
S03059,Treated,2.0,0.945,6.71,06/03/2025
S03060,Treated,1.0,1.358,7.38,17/03/2025
S03061,Treated,1.0,0.298,6.77,13/03/2025
S03062,Control,3.0,1.318,7.19,27/03/2025
S03063,Control,2.0,1.513,7.74,28/03/2025
S03064,Control,2.0,,7.2,13/03/2025
S03065,Treated,1.0,0.659,6.5,17/03/2025
S03066,Control,3.0,n.d.,7.52,01/03/2025
S03067,Treated,2.0,0.987,7.86,06/03/2025
S03068,Treated,1.0,0.475,7.57,11/03/2025
S03069,Treated,3.0,1.146,7.4,12/03/2025
S03070,Treated,2.0,0.56,6.51,17/03/2025
S03071,"treated ",2.0,1.173,6.83,09/03/2025
S03072,control,3.0,0.673,6.47,16/03/2025
S03073,treated,2.0,0.803,7.01,10/03/2025
S03074,Treated,1.0,1.464,7.35,27/03/2025
S03075,Control,1.0,0.685,7.63,05/03/2025
S03076,Treated,3.0,0.16,6.97,03/03/2025
S03077,Control,1.0,1.542,6.96,13/03/2025
S03078,control,3.0,0.331,6.69,04/03/2025
S03079,Control,3.0,0.524,6.48,19/03/2025
S03080,Control,3.0,1.243,7.44,11/03/2025
,,,,,
