sample_id,treatment,replicate,absorbance,ph,date
S02001,Control ,3.0,1.208,6.43,2025-02-01
S02002,Control,3.0,0.685,7.0,2025-02-06
S02003,Control,2.0,0.737,6.78,2025-02-09
S02004,Control,2.0,0.943,7.13,2025-02-16
S02005,Control,2.0,0.931,7.89,2025-02-15
S02006,Control,3.0,0.78,7.27,2025-02-28
S02007,Treated,1.0,0.999,6.5,2025-02-13
S02008,Control,1.0,0.308,7.52,2025-02-09
S02009,Treated,1.0,n.d.,6.7,2025-02-20
S02010,Control,3.0,0.327,7.09,2025-02-18
,,,,,
S02011,Treated,2.0,1.309,7.35,2025-02-15
S02012,Control,3.0,0.951,7.77,2025-02-12
S02013,TREATED,1.0,1.502,6.91,2025-02-01
S02014,Control ,1.0,0.714,7.4,2025-02-13
S02015,Treated,2.0,1.081,6.45,2025-02-16
S02016,Control,2.0,0.192,6.49,2025-02-22
S02017,Treated,2.0,0.541,7.04,2025-02-13
S02018,Control,1.0,0.327,7.28,2025-02-16
S02019,Control,2.0,1.096,6.83,2025-02-21
S02020,Treated,3.0,,7.51,2025-02-08
S02021,Treated,1.0,0.838,6.88,2025-02-10
S02022,Control,2.0,0.464,6.81,2025-02-21
S02023,Control,3.0,0.335,7.44,2025-02-23
S02024,TREATED,3.0,1.316,7.46,2025-02-16
S02025,Treated,1.0,0.451,7.86,2025-02-23
S02026,Control,3.0,,6.6,2025-02-09
S02027,Treated,3.0,0.676,6.54,2025-02-27
S02028,treated,1.0,0.4,7.65,2025-02-17
S02029,Control,1.0,1.165,6.81,2025-02-23
S02030,Control,3.0,1.02,7.76,2025-02-21
S02031,treated ,2.0,1.522,7.26,2025-02-25
S02032,Treated,2.0,,7.3,2025-02-02
S02033,Control,3.0,0.545,6.41,2025-02-03
S02034,CONTROL,2.0,1.389,7.25,2025-02-05
S02035,Control,2.0,n.d.,7.71,2025-02-20
S02036,Control,2.0,1.377,7.89,2025-02-10
S02037,Treated,1.0,0.3,6.97,2025-02-14
S02038,CONTROL,3.0,1.492,6.65,2025-02-07
S02039,Treated,2.0,0.938,7.76,2025-02-28
S02040,Control,3.0,0.775,7.02,2025-02-16
S02041,Control ,2.0,0.692,7.08,2025-02-27
S02042,Treated,1.0,0.654,7.1,2025-02-02
S02043,Control,2.0,0.319,7.22,2025-02-18
S02044,Control,1.0,1.039,6.49,2025-02-26
S02045,Treated,2.0,0.621,6.42,2025-02-25
S02046,Control,1.0,n.d.,7.55,2025-02-21
S02047,Treated,1.0,0.268,7.35,2025-02-06
S02048,treated,1.0,0.791,6.99,2025-02-12
S02049,Treated,3.0,,7.38,2025-02-25
S02050,Control,1.0,1.188,7.47,2025-02-05
S02051,Treated,1.0,1.076,6.84,2025-02-03
S02052,treated ,1.0,n.d.,6.99,2025-02-02
S02053,TREATED,2.0,1.192,6.77,2025-02-06
S02054,Treated,3.0,1.159,6.61,2025-02-21
S02055,TREATED,1.0,0.66,7.29,2025-02-15
S02056,Control,1.0,0.731,7.51,2025-02-16
S02057,Control ,2.0,0.619,7.31,2025-02-16
S02058,Control,2.0,1.262,6.78,2025-02-12
S02059,TREATED,2.0,0.297,7.36,2025-02-07
S02060,Control ,3.0,1.32,7.02,2025-02-09
S02061,Control,1.0,0.974,7.07,2025-02-12
S02062,Treated,2.0,0.644,6.42,2025-02-02
S02063,Control ,3.0,1.512,7.57,2025-02-18
S02064,treated,3.0,1.536,7.75,2025-02-22
S02065,Control,3.0,1.552,6.84,2025-02-02
S02066,Control,1.0,0.233,6.94,2025-02-06
S02067,Control,3.0,0.826,7.14,2025-02-19
S02068,Treated,2.0,1.48,7.0,2025-02-08
S02069,Control,3.0,0.093,6.95,2025-02-03
S02070,Control,1.0,0.536,7.52,2025-02-07
S02071,Control ,3.0,0.778,7.38,2025-02-27
S02072,Control,2.0,0.503,6.88,2025-02-16
S02073,Treated,1.0,0.949,7.35,2025-02-26
S02074,Control,3.0,0.895,7.43,2025-02-09
S02075,Control,2.0,1.363,7.06,2025-02-25
S02076,Control,3.0,0.444,6.79,2025-02-04
S02077,Control,2.0,1.229,7.69,2025-02-23
S02078,Treated,2.0,0.83,6.41,2025-02-25
S02079,Control,1.0,1.547,7.48,2025-02-02
S02080,CONTROL,2.0,1.385,7.61,2025-02-05
