sample_id,treatment,replicate,absorbance,ph,date
S06001,Control,2.0,0.546,7.16,2025-06-04
S06002,Control,2.0,1.095,6.94,2025-06-23
S06003,Control,3.0,0.164,7.44,2025-06-25
S06004,Treated,2.0,0.582,7.04,2025-06-26
S06005,TREATED,3.0,0.662,7.25,2025-06-10
S06006,Control,2.0,0.272,7.18,2025-06-08
S06007,Control,2.0,1.04,7.51,2025-06-25
S06008,CONTROL,1.0,1.579,7.07,2025-06-10
S06009,Control,3.0,1.483,6.48,2025-06-14
S06010,treated,3.0,0.182,7.78,2025-06-27
S06011,CONTROL,1.0,0.891,7.71,2025-06-16
S06012,Treated,1.0,,6.99,2025-06-11
S06013,Control,2.0,1.572,7.39,2025-06-22
,,,,,
S06014,CONTROL,1.0,1.063,7.41,2025-06-16
S06015,Treated,1.0,1.301,7.38,2025-06-11
S06016,Treated,1.0,,7.51,2025-06-02
S06017,Treated,2.0,0.937,6.59,2025-06-06
S06018,Treated,2.0,0.435,6.81,2025-06-26
S06019,Treated,3.0,0.672,7.33,2025-06-22
S06020,Treated,3.0,0.814,7.66,2025-06-22
S06021,Treated,3.0,1.094,7.45,2025-06-13
S06022,treated ,2.0,n.d.,6.67,2025-06-23
S06023,Control ,1.0,n.d.,6.76,2025-06-24
S06024,Treated,3.0,0.629,7.39,2025-06-04
S06025,Control,1.0,0.456,7.65,2025-06-20
S06026,Treated,1.0,0.822,7.24,2025-06-05
S06027,Control,1.0,1.423,7.06,2025-06-28
S06028,Treated,3.0,1.557,6.65,2025-06-12
S06029,Treated,2.0,0.257,6.55,2025-06-08
S06030,Control,3.0,0.329,6.86,2025-06-25
S06031,control,2.0,0.195,7.47,2025-06-15
S06032,Treated,3.0,0.305,6.65,2025-06-03
S06033,Treated,2.0,1.43,7.05,2025-06-27
S06034,control,2.0,1.167,7.85,2025-06-02
S06035,Treated,3.0,1.275,7.63,2025-06-01
S06036,Control,1.0,1.241,7.74,2025-06-22
S06037,Control,3.0,0.577,7.28,2025-06-06
S06038,Treated,3.0,0.69,7.56,2025-06-22
S06039,control,1.0,0.608,7.16,2025-06-27
S06040,CONTROL,1.0,0.873,7.0,2025-06-15
S06041,Treated,1.0,0.203,7.55,2025-06-22
S06042,Treated,3.0,0.876,7.23,2025-06-14
S06043,Treated,1.0,0.752,6.89,2025-06-20
S06044,treated ,1.0,0.953,7.35,2025-06-05
S06045,Treated,3.0,1.48,7.84,2025-06-15
S06046,TREATED,2.0,1.506,6.51,2025-06-06
S06047,Treated,1.0,0.703,6.97,2025-06-11
S06048,Control,2.0,0.224,7.31,2025-06-05
S06049,Control,3.0,1.558,7.77,2025-06-17
S06050,Treated,1.0,0.328,7.0,2025-06-08
S06051,Treated,2.0,1.465,6.69,2025-06-08
S06052,Control ,1.0,,6.66,2025-06-25
S06053,treated ,2.0,0.761,7.1,2025-06-04
S06054,Treated,2.0,0.524,6.92,2025-06-17
S06055,Treated,1.0,0.481,6.48,2025-06-19
S06056,Control,1.0,0.862,6.78,2025-06-18
S06057,Control,2.0,0.877,7.84,2025-06-09
S06058,Control,2.0,1.269,7.02,2025-06-28
S06059,Control,1.0,0.889,7.03,2025-06-06
S06060,CONTROL,2.0,1.543,6.74,2025-06-10
S06061,Control,3.0,1.102,6.98,2025-06-15
S06062,Treated,3.0,n.d.,7.24,2025-06-14
S06063,CONTROL,3.0,1.355,6.68,2025-06-24
S06064,Control,2.0,1.524,7.28,2025-06-23
S06065,Control,3.0,n.d.,7.66,2025-06-20
S06066,Treated,2.0,1.492,7.07,2025-06-18
S06067,Control,3.0,1.442,6.7,2025-06-04
S06068,Control,2.0,0.985,6.92,2025-06-08
S06069,Control,3.0,0.894,7.84,2025-06-20
S06070,Treated,3.0,0.786,7.3,2025-06-06
S06071,Treated,2.0,1.187,7.65,2025-06-15
S06072,treated,1.0,0.985,7.72,2025-06-11
S06073,Treated,2.0,0.943,7.24,2025-06-12
S06074,treated,3.0,1.446,7.41,2025-06-09
S06075,Control,2.0,1.441,7.01,2025-06-08
S06076,Treated,3.0,1.595,6.92,2025-06-04
S06077,Treated,3.0,0.717,7.12,2025-06-26
S06078,Treated,2.0,1.161,6.99,2025-06-09
S06079,Control ,3.0,0.212,7.24,2025-06-24
S06080,Control,1.0,,7.88,2025-06-07
